time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443769971968,14,16427.36,,0.1953125,102,0
443769972224,14,16427.36,,0.11328125,102,0
443769972480,14,17635.84,,0.0703125,102,0
443769972736,14,17635.84,,0.05078125,100,0
443769972992,14,17635.84,,0.0625,98,0
443769973248,14,17635.84,,0.10546875,99,0
443769973504,14,17635.84,,0.0546875,100,0
443769973760,14,16852.32,,0.046875,103,0
443769974016,14,16852.32,,0.0703125,104,0
443769974272,14,16852.32,,0.1171875,106,0
443769974528,14,16852.32,,0.12109375,106,0
443769974784,14,16852.32,,0.2578125,107,0
443769975040,14,16852.32,,0.35546875,108,0
443769975296,14,17144.48,,0.3125,110,0
443769975552,14,17144.48,,0.30859375,110,0
443769975808,14,17144.48,,0.296875,109,0
443769976064,14,18193.6,,0.25390625,108,66
443769976320,14,18193.6,,0.16796875,108,106
443769976576,14,18193.6,,0.06640625,108,99
443769976832,15,18711.52,,0.03515625,107,49
443769977088,14,18711.52,,0.07421875,106,0
443769977344,14,18711.52,,0.2265625,104,0
443769977600,14,18711.52,,0.17578125,104,0
443769977856,14,18711.52,,0.2265625,104,45
443769978112,14,18711.52,,0.15625,106,50
443769978368,14,17954.559999999998,,0.12890625,108,39
443769978624,14,17954.559999999998,,0.09375,109,0
443769978880,14,17954.559999999998,,0.1875,111,0
443769979136,14,19986.399999999998,,0.125,113,0
443769979392,15,19986.399999999998,,0.125,114,0
443769979648,15,19986.399999999998,,0.1171875,115,0
443769979904,15,19986.399999999998,,0.09765625,114,0
443769980160,15,19986.399999999998,,0.1015625,114,0
443769980416,15,19986.399999999998,,0.24609375,114,0
443769980672,15,19986.399999999998,,0.22265625,114,0
443769980928,14,19030.239999999998,,0.1484375,114,0
443769981184,14,19030.239999999998,,0.109375,113,0
443769981440,13,19030.239999999998,,0.15625,114,0
443769981696,13,19030.239999999998,,0.125,114,0
443769981952,13,19030.239999999998,,0.04296875,115,0
443769982208,13,19030.239999999998,,0.07421875,116,0
443769982464,13,19030.239999999998,,0.04296875,117,0
443769982720,13,18472.48,,0.07421875,117,0
443769982976,12,18472.48,,0.046875,117,0
443769983232,12,18472.48,,0.125,117,0
443769983488,12,18472.48,,0.1328125,118,0
443769983744,12,18472.48,,0.09375,118,0
443769984000,12,19720.8,,0.1875,117,0
443769984256,12,19720.8,,0.13671875,116,0
443769984512,12,19720.8,,0.140625,114,0
443769984768,12,19720.8,,0.2578125,114,0
443769985024,12,19720.8,,0.20703125,114,0
443769985280,12,19720.8,,0.05859375,114,0
443769985536,12,19720.8,,0.02734375,115,0
443769985792,12,19720.8,,0.0390625,115,0
443769986048,12,19720.8,,0.01953125,114,0
443769986304,12,19680.96,,0.1953125,114,0
443769986560,11,19680.96,,0.09375,114,0
443769986816,10,19680.96,,0.02734375,114,0
443769987072,10,19680.96,,0.08203125,114,0
443769987328,10,19680.96,,0.0546875,113,0
443769987584,10,19680.96,,0.046875,112,0
443769987840,10,19680.96,,0.02734375,112,0
443769988096,10,19680.96,,0.01953125,111,0
443769988352,10,19680.96,,0.109375,110,0
443769988608,10,16228.16,,0.02734375,106,0
443769988864,10,16228.16,,0.1875,104,0
443769989120,9,16228.16,,0.26953125,103,0
443769989376,9,16228.16,,0.078125,105,0
443769989632,9,16228.16,,0.1328125,106,0
443769989888,9,16228.16,,0.0390625,107,0
443769990144,9,16228.16,,0.04296875,106,0
443769990400,9,16639.84,,0.05078125,106,0
443769990656,9,16639.84,,0.05859375,106,0
443769990912,9,16639.84,,0.26171875,109,0
443769991168,9,16639.84,,0.15625,111,0
443769991424,9,16639.84,,0.21484375,112,0
443769991680,9,16639.84,,0.19140625,113,0
443769991936,9,15391.519999999999,,0.1015625,113,0
443769992192,8,15391.519999999999,,0.09375,113,0
443769992448,8,15391.519999999999,,0.0390625,114,0
443769992704,8,15391.519999999999,,0.078125,114,0
443769992960,8,16042.24,,0.15234375,114,0
443769993216,9,16042.24,,0.1875,114,0
443769993472,9,16042.24,,0.1484375,113,0
443769993728,9,16042.24,,0.3203125,113,0
443769993984,9,16042.24,,0.125,113,0
443769994240,9,16042.24,,0.09375,115,0
443769994496,9,16042.24,,0.046875,116,0
443769994752,9,16228.16,,0.09375,116,0
443769995008,9,16228.16,,0.06640625,118,0
443769995264,9,16228.16,,0.046875,119,0
443769995520,9,16414.079999999998,,0.171875,120,0
443769995776,9,16414.079999999998,,0.171875,122,0
443769996032,9,16414.079999999998,,0.2109375,123,0
443769996288,10,15617.279999999999,,0.30078125,124,0
443769996544,10,15617.279999999999,,0.11328125,123,0
443769996800,11,18831.04,,0.05078125,122,0
443769997056,12,18831.04,,0.1171875,121,0
443769997312,13,18831.04,,0.1171875,120,0
443769997568,13,18884.16,,0.046875,119,0
443769997824,14,18884.16,,0.0,116,0
443769998080,15,18884.16,,0.0,114,0
443769998336,15,18884.16,,0.0,112,0
443769998592,15,18884.16,,0.0,112,0
443769998848,15,20132.48,,0.015625,111,0
443769999104,15,20132.48,,0.0,111,0
443769999360,16,20132.48,,0.02734375,110,0
443769999616,16,20132.48,,0.09765625,109,0
443769999872,16,17941.28,,0.21484375,108,0
443770000128,16,17941.28,,0.18359375,107,0
443770000384,16,17941.28,,0.1328125,108,0
443770000640,16,17941.28,,0.109375,108,0
443770000896,16,17941.28,,0.08984375,108,0
443770001152,16,21500.32,,0.03515625,107,0
443770001408,16,21500.32,,0.04296875,106,0
443770001664,16,21500.32,,0.03125,105,0
443770001920,17,21500.32,,0.0859375,105,0
443770002176,16,20437.92,,0.11328125,104,0
443770002432,16,20437.92,,0.078125,104,0
443770002688,16,20437.92,,0.125,105,0
443770002944,16,22562.719999999998,,0.109375,105,0
443770003200,16,22562.719999999998,,0.12109375,103,0
443770003456,16,22562.719999999998,,0.0546875,102,0
443770003712,16,22562.719999999998,,0.1171875,102,0
443770003968,16,21646.399999999998,,0.1328125,103,0
443770004224,15,21646.399999999998,,0.125,103,0
443770004480,15,21646.399999999998,,0.078125,104,0
443770004736,15,21646.399999999998,,0.10546875,105,0
443770004992,15,21646.399999999998,,0.07421875,106,0
443770005248,15,21792.48,,0.05078125,105,0
443770005504,14,21792.48,,0.1171875,105,0
443770005760,14,21792.48,,0.1328125,103,0
443770006016,14,21792.48,,0.13671875,105,0
443770006272,14,21792.48,,0.04296875,105,0
443770006528,14,21792.48,,0.1015625,107,0
