time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
443770000128,6,13200.32,,0.0,72,0
443770000384,6,13200.32,,0.0,72,0
443770000640,6,11606.72,,0.0,71,0
443770000896,6,11606.72,,0.0,71,0
443770001152,6,11606.72,,0.015625,70,0
443770001408,6,11606.72,,0.01953125,70,0
443770001664,6,11606.72,,0.09765625,70,0
443770001920,6,11606.72,,0.15625,70,0
443770002176,6,11606.72,,0.22265625,71,0
443770002432,6,11606.72,,0.171875,71,0
443770002688,6,11859.039999999999,,0.109375,71,0
443770002944,6,11859.039999999999,,0.05859375,72,0
443770003200,6,11859.039999999999,,0.046875,73,0
443770003456,6,11859.039999999999,,0.01953125,74,0
443770003712,6,11859.039999999999,,0.01953125,76,0
443770003968,6,11859.039999999999,,0.0234375,77,0
443770004224,6,11859.039999999999,,0.015625,78,0
443770004480,6,11859.039999999999,,0.0,78,0
443770004736,6,11898.88,,0.015625,78,0
443770004992,6,11898.88,,0.05078125,77,0
443770005248,6,11898.88,,0.03125,77,0
443770005504,5,11898.88,,0.0,76,0
443770005760,5,11898.88,,0.0,75,0
443770006016,5,11898.88,,0.0,74,0
443770006272,6,11898.88,,0.0,72,0
443770006528,6,11898.88,,0.015625,71,0
443770006784,6,11898.88,,0.015625,70,0
443770007040,5,11898.88,,0.0,69,0
443770007296,5,11898.88,,0.0,67,0
443770007552,5,11898.88,,0.0,66,0
443770007808,5,11898.88,,0.015625,65,0
443770008064,5,11898.88,,0.02734375,64,0
443770008320,5,11898.88,,0.015625,64,0
443770008576,5,11898.88,,0.0234375,64,0
443770008832,5,11898.88,,0.05859375,64,0
443770009088,5,11898.88,,0.046875,64,0
443770009344,5,11898.88,,0.0625,64,0
443770009600,5,11898.88,,0.01953125,64,0
443770009856,5,11898.88,,0.0,64,0
443770010112,5,11898.88,,0.0,64,0
443770010368,5,11898.88,,0.0,65,0
443770010624,5,11898.88,,0.0,65,0
443770010880,5,11898.88,,0.0,65,0
443770011136,5,11898.88,,0.0,65,0
443770011392,5,11898.88,,0.0,65,0
443770011648,5,9309.279999999999,,0.0,65,0
443770011904,5,9309.279999999999,,0.0,65,0
443770012160,4,9309.279999999999,,0.0,65,0
443770012416,4,9309.279999999999,,0.0,65,0
443770012672,4,9309.279999999999,,0.0,64,0
443770012928,4,9309.279999999999,,0.0,63,0
443770013184,4,9309.279999999999,,0.0,63,0
443770013440,4,9309.279999999999,,0.0,63,0
443770013696,4,9309.279999999999,,0.0,63,0
443770013952,4,9309.279999999999,,0.0,63,0
443770014208,4,9309.279999999999,,0.0,63,0
443770014464,4,9309.279999999999,,0.0,63,0
443770014720,4,7861.759999999999,,0.0,63,0
443770014976,4,7861.759999999999,,0.0,63,0
443770015232,4,7861.759999999999,,0.0,64,0
443770015488,5,7861.759999999999,,0.0,65,0
443770015744,5,7861.759999999999,,0.0,65,0
443770016000,5,7861.759999999999,,0.0,65,0
443770016256,4,7861.759999999999,,0.0,66,0
443770016512,4,7861.759999999999,,0.0234375,66,0
443770016768,4,7861.759999999999,,0.09765625,68,0
443770017024,4,7861.759999999999,,0.1171875,69,0
443770017280,5,6507.2,,0.140625,69,0
443770017536,5,6507.2,,0.18359375,69,0
443770017792,5,6507.2,,0.16796875,69,0
443770018048,5,6507.2,,0.16015625,71,0
443770018304,5,6507.2,,0.16796875,72,0
443770018560,5,6507.2,,0.16015625,76,0
443770018816,5,6507.2,,0.16015625,80,0
443770019072,5,6507.2,,0.1328125,84,0
443770019328,5,6507.2,,0.1640625,86,0
443770019584,5,6507.2,,0.16015625,90,0
443770019840,5,8180.48,,0.19921875,91,0
443770020096,5,8180.48,,0.19140625,94,0
443770020352,5,8180.48,,0.16796875,94,0
443770020608,4,8180.48,,0.15234375,94,0
443770020864,4,8180.48,,0.0546875,93,0
443770021120,4,8180.48,,0.01953125,92,0
443770021376,5,8180.48,,0.0,91,0
443770021632,5,8180.48,,0.015625,89,0
443770021888,5,8180.48,,0.0,89,0
